City,Country,Arrive,Depart,Coordinates
Kyiv,Ukraine,1-Jan-22,28-Jan-22,"50.4501° N, 30.5234° E"
Doha,Qatar,28-Jan-22,28-Jan-22,"25.2854° N, 51.5310° E"
Phuket,Thailand,29-Jan-22,15-Feb-22,"7.8804° N, 98.3923° E"
Dubai,UAE,15-Feb-22,15-Feb-22,"25.2048° N, 55.2708° E"
Bucharest,Romania,16-Feb-22,21-Feb-22,"44.4268° N, 26.1025° E"
Warsaw,Poland,24-Feb-22,26-Feb-22,"52.2297° N, 21.0122° E"
Bucharest,Romania,26-Feb-22,26-Feb-22,"44.4268° N, 26.1025° E"
Ploiesti,Romania,26-Feb-22,26-Feb-22,"44.9367° N, 26.0129° E"
Siret,Romania,26-Feb-22,2-Mar-22,"47.9553° N, 26.0642° E"
Bucharest,Romania,2-Mar-22,3-Mar-22,"44.4268° N, 26.1025° E"
Paris,France,23-Mar-22,28-Mar-22,"48.8566° N, 2.3522° E"
Le Havre,France,,,"49.4944° N, 0.1079° E"
Paris,France,,,"48.8566° N, 2.3522° E"
Bucharest,Romania,28-Mar-22,31-Mar-22,"44.4268° N, 26.1025° E"
Cluj,Romania,8-Apr-22,9-Apr-22,"46.7712° N, 23.6236° E"
Vienna,Austria,9-Apr-22,16-Apr-22,"48.2082° N, 16.3738° E"
Budapest,Hungary,16-Apr-22,21-Apr-22,"47.4979° N, 19.0402° E"
Paris,France,21-Apr-22,26-Apr-22,"48.8566° N, 2.3522° E"
Le Havre,France,,,"49.4944° N, 0.1079° E"
Paris,France,,,"48.8566° N, 2.3522° E"
Zagreb,Croatia,26-Apr-22,30-Apr-22,"45.8150° N, 15.9819° E"
Bucharest,Romania,30-Apr-22,3-May-22,"44.4268° N, 26.1025° E"
Milan,Italy,6-May-22,13-May-22,"45.4642° N, 9.1900° E"
San Bonifacio,Italy,,,"45.3954° N, 11.2742° E"
Milan,Italy,,,"45.4642° N, 9.1900° E"
Crema,Italy,,,"45.3643° N, 9.6825° E"
Ostellato,Italy,,,"44.713202° N, 12.096649° E"
Ravenna,Italy,,,"44.4184° N, 12.2035° E"
Bologna,Italy,,,"44.4949° N, 11.3426° E"
Bucharest,Romania,,,"44.4268° N, 26.1025° E"
Iasi,Romania,,,"47.1585° N, 27.6014° E"
Siret,Romania,,,"47.9553° N, 26.0642° E"
Komonets Podilsky,Ukraine,,,"48.6967° N, 26.5825° E"
Kyiv,Ukraine,15-May-22,22-May-22,"50.4501° N, 30.5234° E"
Komonets Podilsky,Ukraine,,,"48.6967° N, 26.5825° E"
Siret,Romania,,,"47.9553° N, 26.0642° E"
Bucharest,Romania,22-May-22,1-Jun-22,"44.4268° N, 26.1025° E"
Munich,Germany,,,"48.1351° N, 11.5820° E"
Offenberg,Germany,1-Jun-22,4-Jun-22,"48.4735° N, 7.9498° E"
Munich,Germany,,,"48.1351° N, 11.5820° E"
Bucharest,Romania,4-Jun-22,12-Jun-22,"44.4268° N, 26.1025° E"
Siret,Ukraine,,,"47.9553° N, 26.0642° E"
Komonets Podilsky,Ukraine,,,"48.6967° N, 26.5825° E"
Kyiv,Ukraine,12-Jun-22,20-Jun-22,"50.4501° N, 30.5234° E"
Przemysl,Poland,,,"49.7823° N, 22.7744° E"
Krakow,Poland,20-Jun-22,20-Jun-22,"50.0647° N, 19.9450° E"
Amsterdam,Netherlands,,,"52.3676° N, 4.9041° E"
Budapest,Hungary,20-Jun-22,22-Jun-22,"47.4979° N, 19.0402° E"
Warsaw,Poland,22-Jun-22,23-Jun-22,"52.2297° N, 21.0122° E"
